imageId,sampleId,cancer,stroma,matrix,timepoint,growthstatus,compound,dose,imageDir,imageFileName,imageFilePath,wellId,plateId,rowId,colId,fieldId,nChannels,nFields,pixelSizeX,pixelSizeY,pixelSizeZ,stain,magnification,sizeX,sizeY,sizeZ,imageX,imageY,imageZ,nSamplesCondition,conditionId
209,53,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A02,field_001.tif,/home/mbarbie1/Documents/BOX/A02/field_001.tif,1,3,1,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
210,53,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A02,field_002.tif,/home/mbarbie1/Documents/BOX/A02/field_002.tif,1,3,1,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
211,53,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A02,field_003.tif,/home/mbarbie1/Documents/BOX/A02/field_003.tif,1,3,1,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
212,53,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A02,field_004.tif,/home/mbarbie1/Documents/BOX/A02/field_004.tif,1,3,1,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
213,54,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A03,field_001.tif,/home/mbarbie1/Documents/BOX/A03/field_001.tif,2,3,1,3,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
214,54,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A03,field_002.tif,/home/mbarbie1/Documents/BOX/A03/field_002.tif,2,3,1,3,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
215,54,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A03,field_003.tif,/home/mbarbie1/Documents/BOX/A03/field_003.tif,2,3,1,3,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
216,54,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A03,field_004.tif,/home/mbarbie1/Documents/BOX/A03/field_004.tif,2,3,1,3,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
217,55,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A04,field_001.tif,/home/mbarbie1/Documents/BOX/A04/field_001.tif,3,3,1,4,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
218,55,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A04,field_002.tif,/home/mbarbie1/Documents/BOX/A04/field_002.tif,3,3,1,4,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
219,55,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A04,field_003.tif,/home/mbarbie1/Documents/BOX/A04/field_003.tif,3,3,1,4,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
220,55,LNCaP,,matrigel,day23,stat,DMSO,0,/home/mbarbie1/Documents/BOX/A04,field_004.tif,/home/mbarbie1/Documents/BOX/A04/field_004.tif,3,3,1,4,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,24,44
237,60,LNCaP,,matrigel,day23,stat,docetaxel,0.00001,/home/mbarbie1/Documents/BOX/B02,field_001.tif,/home/mbarbie1/Documents/BOX/B02/field_001.tif,8,3,2,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
238,60,LNCaP,,matrigel,day23,stat,docetaxel,0.00001,/home/mbarbie1/Documents/BOX/B02,field_002.tif,/home/mbarbie1/Documents/BOX/B02/field_002.tif,8,3,2,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
239,60,LNCaP,,matrigel,day23,stat,docetaxel,0.00001,/home/mbarbie1/Documents/BOX/B02,field_003.tif,/home/mbarbie1/Documents/BOX/B02/field_003.tif,8,3,2,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
240,60,LNCaP,,matrigel,day23,stat,docetaxel,0.00001,/home/mbarbie1/Documents/BOX/B02,field_004.tif,/home/mbarbie1/Documents/BOX/B02/field_004.tif,8,3,2,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
249,63,LNCaP,,matrigel,day23,stat,docetaxel,0.000003,/home/mbarbie1/Documents/BOX/C02,field_001.tif,/home/mbarbie1/Documents/BOX/C02/field_001.tif,11,3,3,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
250,63,LNCaP,,matrigel,day23,stat,docetaxel,0.000003,/home/mbarbie1/Documents/BOX/C02,field_002.tif,/home/mbarbie1/Documents/BOX/C02/field_002.tif,11,3,3,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
251,63,LNCaP,,matrigel,day23,stat,docetaxel,0.000003,/home/mbarbie1/Documents/BOX/C02,field_003.tif,/home/mbarbie1/Documents/BOX/C02/field_003.tif,11,3,3,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
252,63,LNCaP,,matrigel,day23,stat,docetaxel,0.000003,/home/mbarbie1/Documents/BOX/C02,field_004.tif,/home/mbarbie1/Documents/BOX/C02/field_004.tif,11,3,3,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
261,66,LNCaP,,matrigel,day23,stat,docetaxel,0.000001,/home/mbarbie1/Documents/BOX/D02,field_001.tif,/home/mbarbie1/Documents/BOX/D02/field_001.tif,14,3,4,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
262,66,LNCaP,,matrigel,day23,stat,docetaxel,0.000001,/home/mbarbie1/Documents/BOX/D02,field_002.tif,/home/mbarbie1/Documents/BOX/D02/field_002.tif,14,3,4,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
263,66,LNCaP,,matrigel,day23,stat,docetaxel,0.000001,/home/mbarbie1/Documents/BOX/D02,field_003.tif,/home/mbarbie1/Documents/BOX/D02/field_003.tif,14,3,4,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
264,66,LNCaP,,matrigel,day23,stat,docetaxel,0.000001,/home/mbarbie1/Documents/BOX/D02,field_004.tif,/home/mbarbie1/Documents/BOX/D02/field_004.tif,14,3,4,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
273,69,LNCaP,,matrigel,day23,stat,docetaxel,0.0000003,/home/mbarbie1/Documents/BOX/E02,field_001.tif,/home/mbarbie1/Documents/BOX/E02/field_001.tif,17,3,5,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
274,69,LNCaP,,matrigel,day23,stat,docetaxel,0.0000003,/home/mbarbie1/Documents/BOX/E02,field_002.tif,/home/mbarbie1/Documents/BOX/E02/field_002.tif,17,3,5,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
275,69,LNCaP,,matrigel,day23,stat,docetaxel,0.0000003,/home/mbarbie1/Documents/BOX/E02,field_003.tif,/home/mbarbie1/Documents/BOX/E02/field_003.tif,17,3,5,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
276,69,LNCaP,,matrigel,day23,stat,docetaxel,0.0000003,/home/mbarbie1/Documents/BOX/E02,field_004.tif,/home/mbarbie1/Documents/BOX/E02/field_004.tif,17,3,5,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
285,72,LNCaP,,matrigel,day23,stat,docetaxel,0.0000001,/home/mbarbie1/Documents/BOX/F02,field_001.tif,/home/mbarbie1/Documents/BOX/F02/field_001.tif,20,3,6,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
286,72,LNCaP,,matrigel,day23,stat,docetaxel,0.0000001,/home/mbarbie1/Documents/BOX/F02,field_002.tif,/home/mbarbie1/Documents/BOX/F02/field_002.tif,20,3,6,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
287,72,LNCaP,,matrigel,day23,stat,docetaxel,0.0000001,/home/mbarbie1/Documents/BOX/F02,field_003.tif,/home/mbarbie1/Documents/BOX/F02/field_003.tif,20,3,6,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
288,72,LNCaP,,matrigel,day23,stat,docetaxel,0.0000001,/home/mbarbie1/Documents/BOX/F02,field_004.tif,/home/mbarbie1/Documents/BOX/F02/field_004.tif,20,3,6,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
297,75,LNCaP,,matrigel,day23,stat,docetaxel,0.00000003,/home/mbarbie1/Documents/BOX/G02,field_001.tif,/home/mbarbie1/Documents/BOX/G02/field_001.tif,23,3,7,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
298,75,LNCaP,,matrigel,day23,stat,docetaxel,0.00000003,/home/mbarbie1/Documents/BOX/G02,field_002.tif,/home/mbarbie1/Documents/BOX/G02/field_002.tif,23,3,7,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
299,75,LNCaP,,matrigel,day23,stat,docetaxel,0.00000003,/home/mbarbie1/Documents/BOX/G02,field_003.tif,/home/mbarbie1/Documents/BOX/G02/field_003.tif,23,3,7,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
300,75,LNCaP,,matrigel,day23,stat,docetaxel,0.00000003,/home/mbarbie1/Documents/BOX/G02,field_004.tif,/home/mbarbie1/Documents/BOX/G02/field_004.tif,23,3,7,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
309,78,LNCaP,,matrigel,day23,stat,docetaxel,0.00000001,/home/mbarbie1/Documents/BOX/H02,field_001.tif,/home/mbarbie1/Documents/BOX/H02/field_001.tif,26,3,8,2,1,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
310,78,LNCaP,,matrigel,day23,stat,docetaxel,0.00000001,/home/mbarbie1/Documents/BOX/H02,field_002.tif,/home/mbarbie1/Documents/BOX/H02/field_002.tif,26,3,8,2,2,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
311,78,LNCaP,,matrigel,day23,stat,docetaxel,0.00000001,/home/mbarbie1/Documents/BOX/H02,field_003.tif,/home/mbarbie1/Documents/BOX/H02/field_003.tif,26,3,8,2,3,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
312,78,LNCaP,,matrigel,day23,stat,docetaxel,0.00000001,/home/mbarbie1/Documents/BOX/H02,field_004.tif,/home/mbarbie1/Documents/BOX/H02/field_004.tif,26,3,8,2,4,4,4,1.3,1.3,10,EdU,10x,1256,1056,91,1632.8,1372.8,910,28,46
